ID,Cikis,Varis,Musteri,Tip,Tonaj,Mesafe,Maliyet,Fiyat,Gecikme
TRK-10000,İzmir,İskenderun,Arçelik,Karayolu,27308,1654,3761.02,4659.57,1
TRK-10001,Rotterdam,Batum,Şişecam,Karayolu,34598,1433,3786.92,4713.54,0
TRK-10002,Hamburg,Batum,Tofaş,Demiryolu,30163,2905,9840.01,12272.64,0
TRK-10003,Mersin,Rotterdam,Beko,Denizyolu,23950,4245,13966.04,16649.53,5
TRK-10004,İzmir,Hamburg,Tofaş,Karayolu,36208,2164,5937.77,6837.28,0
TRK-10005,Rotterdam,Hamburg,Arçelik,Denizyolu,3537,1441,2917.7,3325.38,2
TRK-10006,Ambarlı,Rotterdam,Amazon,Karayolu,10476,4605,14491.75,16689.14,1
TRK-10007,Mersin,Rotterdam,Vestel,Karayolu,12245,985,2516.91,2949.06,2
TRK-10008,Mersin,Ambarlı,Beko,Demiryolu,18888,947,3384.83,4169.13,1
TRK-10009,Hamburg,İzmir,Apple,Karayolu,13265,3042,7742.43,9800.63,0
TRK-10010,İzmir,İskenderun,Arçelik,Denizyolu,17164,4008,7762.37,9804.32,0
TRK-10011,İskenderun,Mersin,Vestel,Denizyolu,28345,2473,7459.85,9110.16,5
TRK-10012,Samsun,İskenderun,Şişecam,Karayolu,33763,3204,8825.83,10250.91,0
TRK-10013,İskenderun,Mersin,Şişecam,Demiryolu,13200,1013,3457.26,4430.82,1
TRK-10014,İskenderun,İzmir,Arçelik,Denizyolu,34192,1750,6425.4,8297.42,5
TRK-10015,Ambarlı,Samsun,Arçelik,Denizyolu,5176,323,1073.9,1371.68,0
TRK-10016,İskenderun,Mersin,Beko,Demiryolu,42555,3333,9513.96,11307.73,0
TRK-10017,Batum,Mersin,Tofaş,Demiryolu,34840,3474,5893.85,6959.82,0
TRK-10018,Mersin,Ambarlı,Apple,Karayolu,41425,2069,5856.07,6907.2,0
TRK-10019,Samsun,İskenderun,Amazon,Demiryolu,27826,2525,4711.86,5889.31,5
TRK-10020,Hamburg,Rotterdam,Arçelik,Denizyolu,39514,1965,6137.76,7102.4,1
TRK-10021,Samsun,Rotterdam,Arçelik,Demiryolu,41229,4197,10355.21,12129.04,0
TRK-10022,Samsun,Ambarlı,Vestel,Karayolu,24121,1292,2526.2,2933.46,2
TRK-10023,İskenderun,Hamburg,Arçelik,Demiryolu,42946,1959,3910.53,4657.06,2
TRK-10024,Samsun,İskenderun,Arçelik,Demiryolu,19790,4202,9715.98,11353.23,0
TRK-10025,Mersin,İskenderun,Tofaş,Denizyolu,30896,1023,3658.92,4548.24,2
TRK-10026,Batum,Mersin,Şişecam,Karayolu,8958,1877,4389.46,4917.38,2
TRK-10027,Batum,İzmir,Arçelik,Karayolu,40241,3897,12292.29,15387.01,1
TRK-10028,Samsun,İzmir,Beko,Denizyolu,21584,2061,4616.55,5840.59,2
TRK-10029,Samsun,Ambarlı,Vestel,Demiryolu,9106,3498,10435.43,13074.64,1
TRK-10030,Hamburg,Batum,Amazon,Denizyolu,14810,3133,10292.05,12401.44,0
TRK-10031,Mersin,İskenderun,Beko,Karayolu,4958,2763,7531.47,8979.31,0
TRK-10032,İskenderun,Batum,Apple,Demiryolu,16113,3967,8500.63,10367.19,5
TRK-10033,İzmir,Samsun,Şişecam,Demiryolu,33846,1077,2123.78,2639.76,0
TRK-10034,Samsun,Mersin,Amazon,Denizyolu,44151,4724,15390.98,19025.49,0
TRK-10035,Hamburg,Ambarlı,Vestel,Denizyolu,34212,1312,2862.67,3458.02,5
TRK-10036,Rotterdam,Samsun,Arçelik,Denizyolu,43507,1569,4008.13,4698.51,0
TRK-10037,Rotterdam,İskenderun,Şişecam,Karayolu,1474,793,1537.34,1761.34,0
TRK-10038,Batum,İzmir,Vestel,Karayolu,24965,2217,4362.79,5600.65,0
TRK-10039,Mersin,Batum,Şişecam,Denizyolu,1957,1498,5213.71,6503.75,0
TRK-10040,Batum,İzmir,Beko,Karayolu,1922,2613,8232.06,9880.89,0
TRK-10041,Ambarlı,Hamburg,Tofaş,Demiryolu,20379,219,809.69,959.95,5
TRK-10042,Samsun,Rotterdam,Vestel,Karayolu,28479,3085,9547.59,11724.78,0
TRK-10043,İzmir,Mersin,Beko,Karayolu,34630,1017,1877.33,2136.26,0
TRK-10044,İskenderun,Samsun,Amazon,Karayolu,40624,3956,11085.81,13679.35,0
TRK-10045,Batum,İzmir,Vestel,Demiryolu,30984,3327,5537.11,6523.29,0
TRK-10046,Mersin,Rotterdam,Apple,Denizyolu,44511,1193,4233.47,5299.33,1
TRK-10047,Samsun,Rotterdam,Vestel,Demiryolu,24175,966,2143.66,2556.9,0
TRK-10048,İzmir,Batum,Şişecam,Denizyolu,7075,2990,8270.14,10268.25,0
TRK-10049,Rotterdam,İskenderun,Tofaş,Denizyolu,4777,4899,11542.21,14894.93,1
TRK-10050,Samsun,Ambarlı,Apple,Denizyolu,25015,2586,7598.82,8911.23,0
TRK-10051,Rotterdam,Ambarlı,Arçelik,Demiryolu,3130,605,1477.84,1678.57,0
TRK-10052,Hamburg,Batum,Beko,Denizyolu,26749,1541,3147.07,3509.82,2
TRK-10053,Hamburg,İskenderun,Arçelik,Demiryolu,18111,4828,11486.17,12774.08,0
TRK-10054,Rotterdam,Samsun,Vestel,Karayolu,2892,836,1357.56,1641.61,0
TRK-10055,İskenderun,Mersin,Amazon,Karayolu,39957,4079,8438.04,9287.05,2
TRK-10056,Ambarlı,Hamburg,Tofaş,Karayolu,12279,4225,13628.49,16167.4,0
TRK-10057,İskenderun,Rotterdam,Beko,Karayolu,2175,1365,4704.52,5679.74,2
TRK-10058,Samsun,İskenderun,Şişecam,Denizyolu,2252,350,549.79,703.72,2
TRK-10059,Samsun,Rotterdam,Beko,Demiryolu,20637,1593,4088.15,4951.83,0
TRK-10060,Hamburg,Mersin,Vestel,Karayolu,1097,1915,5243.38,5922.77,2
TRK-10061,İskenderun,Rotterdam,Arçelik,Demiryolu,19298,906,2889.65,3297.8,0
TRK-10062,Batum,Ambarlı,Tofaş,Karayolu,25493,4446,10876.17,13913.08,2
TRK-10063,Batum,Ambarlı,Apple,Demiryolu,36240,4897,8791.58,9773.17,0
TRK-10064,Batum,Rotterdam,Tofaş,Karayolu,2731,1972,4052.12,4966.2,5
TRK-10065,Samsun,Mersin,Tofaş,Denizyolu,16726,2286,6955.24,8490.03,1
TRK-10066,İzmir,Hamburg,Vestel,Denizyolu,26025,2292,7428.75,9510.86,1
TRK-10067,Mersin,Hamburg,Vestel,Denizyolu,2861,383,1208.67,1492.26,0
